feature,importance
forty_yd_dash,0.09228113734898757
accel_p95_max,0.08301687882780535
three_cone,0.08105750172352949
twenty_yard_shuttle,0.07059388953745507
standing_broad_jump,0.0665429516272639
speed_p75_max,0.051119142733018395
accel_mean_mean,0.04384957247296347
standing_vertical,0.04337385272449558
speed_mean_mean,0.03931076023480739
intensity_ratio,0.03442426396243379
work_efficiency,0.03263554831888814
accel_max_max,0.030192669705363794
dir_change_max_max,0.030019178531838605
speed_p95_max,0.029721965886232212
speed_max_max,0.029139276081269854
dir_change_avg_mean,0.028522708376929756
height,0.025387178945406805
total_distance_sum,0.025290197115201682
arm_length,0.024790186895407133
accel_std_mean,0.022136736616768148
speed_p50_mean,0.021468944886549747
avg_distance_per_frame_mean,0.02023159744907344
total_frames_sum,0.01736075222940341
speed_std_mean,0.014034401825780626
speed_consistency,0.013332476279085565
weight,0.012654100428392188
wingspan,0.010063969856356879
bench_reps_of_225,0.006075264224160872
hand_size,0.0013728951551312824
