feature,importance
forty_yd_dash,0.0722705416395256
composite_agility,0.05641401729522973
accel_p95_max,0.04763408786504342
composite_explosiveness,0.04569386031513392
speed_mean_mean,0.04345748443756326
weight_zscore,0.042636802943383886
three_cone,0.041190892160227435
int_DB_forty_yd_dash,0.03949612453857288
dir_change_max_max,0.03768960230458778
twenty_yard_shuttle,0.03483505181001338
accel_max_max,0.03302910251791705
height_zscore,0.032910097464589345
bench_reps_of_225_zscore,0.030883706223575683
speed_p95_max,0.02768985697906599
accel_std_mean,0.027408626227742008
standing_vertical,0.026057195012396225
twenty_yard_shuttle_zscore,0.0228198908323577
pos_SKILL,0.022212885302015987
intensity_ratio,0.020686528207707736
work_efficiency,0.02045359551299833
total_frames_sum,0.020110515445405572
standing_vertical_zscore,0.01971300980457707
speed_std_mean,0.01914916916737881
speed_p75_max,0.018681821661081763
weight,0.018442260156457526
int_DB_three_cone,0.01744439799548174
speed_consistency,0.016792976971933205
composite_size_weight_speed,0.015996083796047063
avg_distance_per_frame_mean,0.015796832617995755
arm_length,0.015150358500079578
pos_DB,0.013794005333908475
accel_mean_mean,0.013723504909822704
total_distance_sum,0.013445751447575972
three_cone_zscore,0.011343374313198954
standing_broad_jump_zscore,0.009782497912350717
wingspan,0.009414834171584816
dir_change_avg_mean,0.009004573957301178
speed_p50_mean,0.008832979814275565
forty_yd_dash_zscore,0.007911102433896167
