feature,importance
forty_yd_dash,0.056216788936596145
composite_agility,0.04950383078750462
accel_std_mean,0.0439806336709079
twenty_yard_shuttle_zscore,0.04022353810742276
composite_explosiveness,0.037929706695680326
weight_zscore,0.036249587848592967
pos_DB,0.032774661847008585
speed_p75_max,0.03007553274461027
twenty_yard_shuttle,0.02984892024326503
pos_SKILL,0.0297270901255607
speed_mean_mean,0.029312017890578374
int_DB_forty_yd_dash,0.027942536238218813
arm_length,0.027924777149137287
speed_p95_max,0.02765784535670226
three_cone,0.027233685550036503
weight,0.025739442560010786
forty_yd_dash_zscore,0.025098844697405382
accel_p95_max,0.02482820802719291
standing_broad_jump_zscore,0.02452018436367482
speed_std_mean,0.024167104306927794
standing_vertical_zscore,0.022779570781865547
avg_distance_per_frame_mean,0.020358048212193027
three_cone_zscore,0.019776439226454594
accel_mean_mean,0.018209742669501962
dir_change_avg_mean,0.017902413708686393
composite_size_weight_speed,0.016871404400254336
standing_vertical,0.016835433167351185
dir_change_max_max,0.015765637194725502
total_distance_sum,0.015748586207755856
work_efficiency,0.014429462125797257
speed_p50_mean,0.014383477284109375
wingspan,0.014353434876029745
accel_max_max,0.014120078607172732
intensity_ratio,0.01409709323407716
bench_reps_of_225_zscore,0.014080845534865655
height_zscore,0.013434519221274017
speed_consistency,0.013389523933830916
int_DB_three_cone,0.013033566551959301
total_frames_sum,0.010514239948224485
height,0.007538703908228289
bench_reps_of_225,0.0073029784644351
hand_size,0.006458326492284459
standing_broad_jump,0.006161042240788923
speed_max_max,0.005854811184588635
three_cone_elite,0.005714236664242867
twenty_yard_shuttle_elite,0.004449914510087735
bench_reps_of_225_elite,0.002904874860783392
forty_yd_dash_elite,0.001952399045910189
int_SKILL_forty_yd_dash,0.00062425859548707
standing_broad_jump_elite,5.1576932321301566e-17
standing_vertical_elite,6.7658017292810315e-18
pos_LB,0.0
pos_DL,0.0
pos_OL,0.0
int_SKILL_standing_vertical,0.0
int_OL_weight,0.0
int_OL_bench_reps_of_225,0.0
int_DL_weight,0.0
int_LB_twenty_yard_shuttle,0.0
