gsis_player_id,position,player_name,season,team,school_code,passing_attempts,passing_completions,passing_yards,passing_completion_percentage,passing_touchdowns,passing_interceptions,rushing_attempts,rushing_yards,rushing_touchdowns,receiving_receptions,receiving_touchdowns,receiving_yards,defense_pass_breakups,defense_qb_hurries,defense_sacks,defense_solo_tackles,defense_total_tackles,defense_tackles_for_loss,defense_interceptions,defense_touchdowns,kickreturns_avg,kickreturns_long,kickreturns_no,kickreturns_touchdowns,kickreturns_yards,puntreturns_avg,puntreturns_long,puntreturns_no,puntreturns_td,puntreturns_yds,total_fumbles,total_fumbles_lost
158332,DT,Garrett Marino,2017,UAB,ALBI,,,,,,,,,,,,,2.0,3.0,1.0,18.0,29.0,7.5,,0.0,,,,,,,,,,,0.0,0.0
158332,DT,Garrett Marino,2018,UAB,ALBI,,,,,,,3.0,5.0,0.0,1.0,0.0,-9.0,0.0,5.0,3.5,10.0,19.0,6.5,,1.0,,,,,,,,,,,0.0,0.0
158332,DT,Garrett Marino,2019,UAB,ALBI,,,,,,,,,,,,,7.0,4.0,5.5,29.0,42.0,13.0,,0.0,,,,,,,,,,,0.0,0.0
172387,DS,Austin Lee,2017,BYU,UTBY,,,,,,,,,,,,,0.0,0.0,0.0,10.0,15.0,0.0,,0.0,,,,,,,,,,,0.0,0.0
172387,DS,Austin Lee,2018,BYU,UTBY,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,1.0,0.0,0.0,21.0,34.0,1.0,2.0,0.0,,,,,,,,,,,,
172387,DS,Austin Lee,2019,BYU,UTBY,,,,,,,,,,,,,4.0,0.0,0.0,36.0,55.0,2.0,1.0,1.0,,,,,,,,,,,,
172698,WR,Nick Westbrook,2018,Indiana,INUN,,,,,,,,,,42.0,4.0,590.0,,,,,,,,,,,,,,,,,,,,
172698,WR,Nick Westbrook,2019,Indiana,INUN,,,,,,,,,,42.0,5.0,572.0,,,,,,,,,,,,,,,,,,,,
172890,DC,Chris Williamson,2018,Minnesota,MNUN,,,,,,,,,,,,,4.0,0.0,1.0,20.0,32.0,3.5,,0.0,,,,,,,,,,,,
172890,DC,Chris Williamson,2019,Minnesota,MNUN,,,,,,,,,,,,,3.0,1.0,2.5,36.0,56.0,4.0,1.0,1.0,,,,,,,,,,,,
173519,QB,Kelly Bryant,2017,Clemson,SCCL,398.0,262.0,2802.0,0.658,13.0,8.0,192.0,665.0,11.0,,,,0.0,0.0,0.0,4.0,4.0,0.0,,0.0,,,,,,,,,,,4.0,2.0
173519,QB,Kelly Bryant,2018,Clemson,SCCL,54.0,36.0,461.0,0.667,2.0,1.0,30.0,130.0,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
173519,QB,Kelly Bryant,2019,Missouri,MOUN,292.0,181.0,2215.0,0.62,15.0,6.0,106.0,242.0,1.0,,,,0.0,0.0,0.0,2.0,2.0,0.0,,0.0,,,,,,,,,,,4.0,2.0
173587,DS,Jeremiah Dinson,2017,Auburn,ALAU,,,,,,,,,,,,,3.0,0.0,1.0,27.0,41.0,2.5,,0.0,,,,,,,,,,,0.0,0.0
173587,DS,Jeremiah Dinson,2018,Auburn,ALAU,,,,,,,,,,,,,3.0,1.0,1.0,25.0,49.0,3.5,2.0,0.0,,,,,,,,,,,,
173587,DS,Jeremiah Dinson,2019,Auburn,ALAU,,,,,,,,,,,,,1.0,0.0,2.0,57.0,88.0,4.5,2.0,0.0,,,,,,,,,,,0.0,0.0
173646,DC,Jace Whittaker,2017,Arizona,AZUN,,,,,,,,,,,,,13.0,0.0,0.0,39.0,46.0,2.0,3.0,1.0,,,,,,,,,,,,
173646,DC,Jace Whittaker,2019,Arizona,AZUN,,,,,,,,,,,,,6.0,0.0,1.0,47.0,55.0,2.0,3.0,0.0,,,,,,,,,,,,
174215,DC,John Reid,2018,Penn State,PAST,,,,,,,,,,,,,8.0,2.0,0.0,17.0,24.0,1.0,2.0,0.0,,,,,,,,,,,,
